layer,fisher_dec_vs_sab,fisher_dec_vs_clean,dist_dec_sab,dist_dec_clean,dist_sab_clean
0,6.520795021564153,12.737028530418991,0.766514,0.98594224,0.5386817
2,11.587022722954556,19.789115292879377,0.87661153,1.0858381,0.6772704
4,14.079434466513215,16.00842288542974,0.9692112,1.0089521,0.8784102
6,12.032328404274745,24.439412572086844,0.9318287,1.2378591,0.8822189
8,12.513877333054605,25.323519319315796,0.95529234,1.2678442,0.9326723
10,12.102220279963802,25.2334102967259,0.9598478,1.2870533,0.9201413
12,13.408351073748046,23.30115280925304,1.0144771,1.2410295,1.0250616
14,13.872289992835737,19.882409809662093,1.0277293,1.1284728,1.0624657
16,14.403031019533595,21.594904778510816,1.0362136,1.174279,1.0476341
18,12.920165642737246,19.19233569194851,0.9793277,1.0930896,1.0161278
20,13.64283653773673,18.942258195766268,0.9436645,1.0373726,1.009885
22,12.852514505606699,22.174316833675963,0.90089995,1.106335,0.9181968
24,7.761877314225619,12.994056243109853,0.8007091,0.9730585,0.8538983
26,6.534385253715179,16.586394090122745,0.73705435,1.0939902,0.7352156
27,10.054031845374675,18.656821152762703,0.8576711,1.0930374,0.8180468
